"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 13 11:01:52 IST 2024","Fri Dec 13 11:01:52 IST 2024","0","test_cases","test_file_credencepage","Test_case_credencepage","","","test_002",""
"passed","Fri Dec 13 11:01:42 IST 2024","Fri Dec 13 11:01:52 IST 2024","10672","test_cases","test_file_credencepage","Test_case_credencepage","","","test_001",""
